"","index","Job Title","Salary Estimate","Rating","Company Name","City","State","Metro Area","Industry","Sector","Lower Salary","Upper Salary","Avg Salary(K)","cost.of.living"
"562",715,"Enterprise Architect, Data","$101K-$158K (Glassdoor est.)",3.6,"MassMutual
3.6","Boston","MA","Boston","Insurance Carriers","Insurance",101,158,129.5,132.6
"563",718,"Supply Chain Data Analyst","$33K-$61K (Glassdoor est.)",3.1,"Icon Health and Fitness
3.1","Logan","UT","Logan","Consumer Products Manufacturing","Manufacturing",33,61,47,95.2
"564",719,"Data Engineer - ETL","$44K-$86K (Glassdoor est.)",3.8,"Shipt
3.8","Birmingham","AL","Birmingham","Consumer Product Rental","Consumer Services",44,86,65,90.7
"565",721,"Corporate Risk Data Analyst (SQL Based) - Milwaukee or","$43K-$77K (Glassdoor est.)",3.8,"Associated Banc-Corp
3.8","Green Bay","WI","Green Bay","Banks & Credit Unions","Finance",43,77,60,91.4
"566",722,"Senior Manager, Epidemiologic Data Scientist","$125K-$210K (Glassdoor est.)",4,"Pfizer
4.0","New York","NY","New York","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",125,210,167.5,128
"567",723,"Marketing Data Analyst, May 2020 Undergrad","$44K-$86K (Glassdoor est.)",3.8,"Fareportal
3.8","New York","NY","New York","Travel Agencies","Travel & Tourism",44,86,65,128
"568",725,"Senior Data Analyst","$69K-$119K (Glassdoor est.)",4,"Novetta
4.0","Herndon","VA","Washington","Enterprise Software & Network Solutions","Information Technology",69,119,94,120.1
"569",726,"Senior Data Analyst","$65K-$110K (Glassdoor est.)",1.9,"Moda Operandi
1.9","New York","NY","New York","Department, Clothing, & Shoe Stores","Retail",65,110,87.5,128
"570",727,"Senior Data Engineer","$67K-$127K (Glassdoor est.)",4,"Novetta
4.0","Reston","VA","Washington","Enterprise Software & Network Solutions","Information Technology",67,127,97,120.1
"571",728,"Senior Data Engineer","$78K-$147K (Glassdoor est.)",4.3,"Genesys
4.3","Durham","NC","Durham","Computer Hardware & Software","Information Technology",78,147,112.5,99.8
"572",730,"Data Modeler (Analytical Systems)","$66K-$117K (Glassdoor est.)",3.6,"MassMutual
3.6","Boston","MA","Boston","Insurance Carriers","Insurance",66,117,91.5,132.6
"573",731,"Data Modeler - Data Solutions Engineer","$37K-$66K (Glassdoor est.)",3.3,"Liberty Mutual Insurance
3.3","Indianapolis","IN","Indianapolis","Insurance Carriers","Insurance",37,66,51.5,90.2
"574",732,"Data Scientist in Translational Medicine","$86K-$143K (Glassdoor est.)",3.8,"Novartis
3.8","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",86,143,114.5,132.6
"575",733,"Data Scientist","$84K-$146K (Glassdoor est.)",4.3,"USEReady
4.3","New York","NY","New York","Consulting","Business Services",84,146,115,128
"576",734,"Product Manager/Data Evangelist","$50K-$98K (Glassdoor est.)",3.2,"Numeric, LLC
3.2","Phila","PA","Philadelphia","Staffing & Outsourcing","Business Services",50,98,74,103.4
"577",735,"Associate Environmental Scientist - Wildlife Biologist","$38K-$64K (Glassdoor est.)",4.7,"QK
4.7","Clovis","CA","Fresno","Architectural & Engineering Services","Business Services",38,64,51,105.9
"578",736,"Sr Data Engineer (Sr BI Developer)","$90K-$110K(Employer est.)",3.4,"Tivity Health
3.4","Chandler","AZ","Phoenix","Health Care Services & Hospitals","Health Care",90,110,100,104.3
"579",737,"Senior Data Scientist – Visualization, Novartis AI Innovation Lab","$92K-$150K (Glassdoor est.)",3.8,"Novartis
3.8","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",92,150,121,132.6
"580",738,"Senior Data Analyst/Scientist","$90K-$153K (Glassdoor est.)",4.5,"Demandbase
4.5","San Francisco","CA","San Francisco","Computer Hardware & Software","Information Technology",90,153,121.5,178.6
